Name,Type,Vendor,Price $/g,Ratings,Flavor notes
Golden Snail Yunnan Black Tea,Black,whispering pines,0.34,88,"Chocolate, Cocoa, Malt, Red Fruits, Honey, Leather, Sugar, Bread, Pastries, Raisins, Stonefruit, Toast, Apricot, Butter, Earth, Maple Syrup, Mineral, Molasses, Plum, Smoke, Sweet Potatoes, Vanilla, Wood, Chestnut, Creamy, Smooth, Sweet, Caramel, Dark Chocolate, Cantaloupe, Grain, Oats, Salt, White Grapes, Floral, Nutty, Roasted, Roasted Barley, Cacao, Broth, Gardenias, Maple, Winter Honey, Peanut, Roasted Nuts, Tobacco, Pepper, Bitter, Dark Bittersweet, Dried Fruit, Brown Sugar, Oak, Wet Earth"
Superfine Keemun Fragrant Black Tea,Black,Teavivre,0.26,86,"Heavy, Cherry, Grain, Honey, Plum, Smoke, Sweet Potatoes, Berries, Bread, Malt, Candy, Caramel, Earth, Tannic, Almond, Sweet, Chocolate, Flowers, Fruity, Orchids, Sugarcane, Dried Fruit, Oats, Toast, Floral, Grape Skin, Muscatel, Smooth, Thick, Salt, Yams, Astringent, Bitter, Tannin"
David's Breakfast Tea (Organic),Black,davids teas,0.1,67,"Astringent, Bitter, Burnt, Wood, Toasty"
Yunnan Jig,Black,adagio,0.16,78,"Autumn Leaf Pile, Forest Floor, Malt, Bread, Citrus, Leather, Orange, Smoke, Caramel, Chocolate, Fig, Mineral, Molasses, Spices, Tobacco, Vanilla, Wood, Cannabis, Cocoa, Coffee, Earth, Maple, Milk, Tannin"
Premium Keemun Hao Ya Black Tea,Black,Teavivre,0.2,86,"Blood Orange, Citrus Zest, Cocoa, Dark Chocolate, Leather, Malt, Spices, Chocolate, Earth, Flowers, Mushrooms, Pineapple, Fruity, Lychee, Smooth, Sweet, Brown Sugar, Sugarcane, Sour, Dark Wood, Smoke, Bread, Honey, Oats, Wheat, Astringent, Burnt Sugar, Cherry, Dried Fruit, Drying, Floral, Grape Skin, Molasses, Perfume, Prune, Caramel, Yams, Cedar, Peppercorn"
Kenyan Tinderet,Black,davids teas,0.2,74,"Honey, Peanut, Malt, Tannin, Earth, Sweet, Bergamot, Brown Toast, Dark Wood, Thick, Wet wood, Astringent, Earthy, Leather, Malty, Bread, Coffee, Dark Chocolate, Walnut, Wood, Dirt, Pleasantly Sour, Nutty"
Irish Breakfast Tea,Black,Twinings,0.13,78,"Malt, Tea, Thick, Biting, Spicy, Tannic, Drying, Astringent, Bitter, Vegetal, Floral, Lemon, Nutty, Pleasantly Sour, Wet Earth"
The Jabberwocky,Black,whispering pines,0.31,87,"Honey, Bread, Malt, Plum, Salt, Apricot, Burnt Sugar, Cocoa, Milk, Mineral, Smooth, Wood, Brown Toast, Caramel, Chocolate, Dark Chocolate, Dates, Dried Fruit, Molasses, Peach, Smoke, Stonefruit, Sweet Potatoes, Thick, Toast, Yams, Floral, Mint, Musty, Cinnamon, Fruity, Camphor, Cream, Eucalyptus, Orange, Raisins, Sweet, Tannin, Tea, Dark Bittersweet, Brown Sugar, Citrus, Corn Husk, Creamy, Broth, Cherry, Muscatel, Red Fruits, Wet Wood, Berry, Grain, Cherry Wood, Oak, Custard, Earth"
Prince of Wales,Black,Twinings,0.13,74,"Smoke, Malt, Tannin, Almond, Caramel, Dust, Nutmeg, Smoked, Smooth, Sweet, Campfire, Fireplace, Kettle Corn, Milk, Molasses, Bread, Salty"
100% Natural Green,Green,Lipton,0.09,52,
Spring Harvest Laoshan Green,Green,Verdant,0.48,87,"Dry Grass, Green, Vegetal, Bitter, Broth, Vegetables, Green Beans, Mineral, Nutty, Pepper, Soybean, Spices, Umami, Asparagus, Chestnut, Corn Husk, Grass, Hay, Honey, Lime, Spinach, Creamy, Sweet, Vanilla, Garden Peas, Beany, Peas, Lima Beans, Roasted Nuts"
Huang Shan Mao Feng Green Tea,Green,Teavivre,0.24,83,"Creamy, Dry Grass, Earth, Hay, Lima Beans, Mineral, Nuts, Smoke, Soybean, Vegetal, Broth, Seaweed, Spinach, Cut Grass, Loam, Butter, Chestnut, Cream, Fennel, Floral, Grass, Green Beans, Honey, Lettuce, Malt, Peas, Pine, Straw, Sugarcane, Sweet, Umami, Bok Choy, Flowers, Asparagus, Bitter, Kale, Lilac, Orchid, Green, Pear, Apricot, Citrus, Herbs, Hot Hay, Smooth, Sweet, Warm Grass, Herbaceous, Stonefruit"
Gunpowder Green,Green,Numi,0.22,72,"Grass, Mineral, Smoke, Spinach, Green, Smooth, Vegetal, Citrus, Lemon, Ash, Astringent, Bitter, Burnt, Cardboard, Drying, Herbaceous, Honey"
Mrs. Li's Shi Feng Dragonwell Green Tea,Green,Verdant,0.58,87,"Citrus Zest, Cream, Green, Guava, Nuts, Roasted Nuts, Vanilla, Vegetable Broth, Vegetal, Creamy, Peas, Spicy, Sugarcane, Thick, Butter, Vegetables, Artichoke, Asparagus, Chestnut, Floral, Grass, Green Beans, Hazelnut, Honey, Mineral, Straw, Nutty, Salt, Broccoli, Kettle Corn, Wheat, banana, Spinach, Garden Peas, Soybean, Lettuce, Pine, Smooth, Cucumber, Flowers, Honey Dew, Sweet, Sweet, Warm Grass, Apple, Lima Beans, Beany"
Autumn Harvest Laoshan Green,Green,Verdant,0.24,85,"Rice, Vegetal, Walnut, Sweet, Green Beans, Butter, Malt, Nutty, Oats, Coriander Seed, Milk, Soybean, Asparagus, Hay, Spices, Vanilla, Grass, Peas, Autumn Leaf Pile, Butternut Squash, Spinach, Cookie, Sugar, Astringent, Bitter, Grain, Creamy, Toasted Rice, Nuts, Peach"
White Monkey,Green,Adagio,0.21,71,"Savory, Vegetal, Fruity, Mango, Strawberry, Bitter, Pear, Flowers, Herbaceous, Grass, Hay, Honey, Astringent, Smoke, Spinach, Floral, Grain"
Gyokuro Yamashiro,Green,Davidsteas,0.5,86,"Butter, Grass, Smooth, Vegetal, Spinach, Vegetable Broth, Floral, Forest Floor, Green, Ocean Air, Ocean Breeze, Seaweed, Vegetables, Creamy, Earth, Sweet, Warm Grass, Artichoke, Green Beans, Bok Choy"
Dragonwell,Green,Adagio,0.28,65,"Dirt, Bitter, Broccoli, Chestnut, Smoke, Vegetal, Flowers, Grass, Chocolate"
Sencha Fuka-midori,Green,Dens teas,0.14,80,"Peas, Sweet, Bitter, Creamy, Grass, Roasted, Smooth, Spinach, Vegetal, Nutty, Seaweed, Sweet, Warm Grass"
Bi Luo Chun Green Tea (Pi Lo Chun),Green,Adagio,0.26,81,"Asparagus, Butter, Floral, Grass, Green Beans, Kale, Lilac, Melon, Narcissus, Nuts, Salty, Sweet Corn, Thick, Vegetal, Beany, Peas, Apricot, Astringent, Corn Husk, Creamy, Grain, Oats, Smooth, Soybean, Sweet, Artichoke, Citrus, Spices, Tea, Umami, Spinach, Bok Choy, Carrot, Roasted, Toasted Rice, Vegetable Broth, Fruity, Seaweed, Honeydew, Sweet, Warm Grass, Flowers, Pepper, Vegetables, Bitter, Green, Mineral, Rainforest, Kettle Corn, Cut Grass, Fruit Tree Flowers, Tangy, Lychee, Hay, Garden Peas"
Organic Superfine Dragon Well Long Jing Green Tea,Green,Teavivre,0.26,86,"Artichoke, Bitter, Butter, Chestnut, Grass, Green Beans, Herbaceous, Mineral, Nutty, Orchid, Spinach, Sweet Corn, Vegetal, Earth, Green, Honey, Fruity, Peach, Stonefruit, Sweet, Corn Husk, Sugarcane, Sweet, Warm Grass, Roasted Nuts, Spices, Umami, Nuts, Creamy, Flowers, Almond, Floral, Walnut, Mint, Squash Blossom, Peas, Popcorn"
Japanese Sencha (Organic),Green,Davidsteas,0.22,72,"Grass, Seaweed, Vegetal, Nuts, Spinach, Astringent, Freshly Cut Grass, Pine, Round, Smooth, Sweet, Umami, Herbaceous, Fishy, Wet Earth, Broth, Salty, Ocean Breeze, Bitter, Salt, Hay, Autumn Leaf Pile, Earth, Roasted"
Premium Dragon Well Long Jing Green Tea,Green,Teavivre,0.22,87,"Butter, Nutty, Smooth, Sweet, Apricot, Beany, Chestnut, Cream, Grain, Green Beans, Nectar, Soybean, Toasty, Vegetal, Bok Choy, Custard, Broth, Cantaloupe, Grass, Marine, Seaweed, Asparagus, Broccoli, Green Bell Peppers, Mineral, Spinach, Umami, Fruity, Vegetable Broth, Butterscotch, Compost, Earth, Moss, Peat, Scotch, Astringent, Roasted Nuts, Freshly Cut Grass, Green, Hay, Honey, Almond, Vegetables, Dry Grass, Roasted, Toast, Creamy, Floral, Nuts, Kale, Caramel, Chicken Soup, Lima Beans, Orchids"
China Green Tips,Green,Tazo,0.57,60,"Grassy, Green, Wheat, Grass, Smooth, Broth, Toasted, Vegetal, Asparagus, Vegetable Broth"
Gyokuro Imperial,Green,Tevana,0.62,83,"Grass, Seaweed, Smooth, Vegetal, Bitter, Green, Salty, Freshly Cut Grass, Sweet, Umami, Astringent, Butter, Burnt, Hay, Straw, Sweet, Warm Grass, Dark Bittersweet"
Gunpowder,Green,Adagio,0.11,72,"Tea, Wet Earth, Tobacco, Mint, Smoke, Vegetal, Cannabis, Grass"
Zen,Green,Tazo,0.11,68,"Mint, Hay, Lemongrass, Grass, Green, Hot Hay, Mineral, Spearmint, Artificial, Cardboard, Lemon, Citrus, Sweet, Straw, Astringent, Plants, Vegetal, Herbs, Musty, Freshly Cut Grass, Earth, Wood"
Jade Cloud,Green,Rishi,0.16,74,"Almond, Astringent, Grass, Raspberry, Green, Honey, Honeysuckle, Malt, Milk, Sweet, Tannin, Tea, Green Beans, Bitter, Dry Grass, Bamboo, Floral, Freshly Cut Grass, Garden Peas, Honeydew, Nectar, Soybean, Squash Blossom, Vegetal, Chestnut, Sweet, Warm Grass, Mint, Blueberry"
Gunpowder Green,Green,Twinings,0.08,76,"Bitter, Rice, Seaweed, Sour, Astringent, Flowers"
Sencha,Green,Harney,0.11,77,"Grass, Marine, Seaweed, Peas, Spinach, Vegetables, Vegetal, Butter, Autumn Leaf Pile, Broccoli"
Organic Nonpareil Ming Qian Dragon Well Long Jing Green Tea,Green,Teavivre,0.37,88,"Apricot, Astringent, Beany, Broth, Butter, Chestnut, Chocolate, Citrus, Coconut, Floral, Grass, Green Beans, Hay, Herbs, Mineral, Mint, Nutty, Rice, Salt, Sugarcane, Sweet, Vegetal, Bitter, Flowers, Spring Water, Drying, Mango, Pine, Green, Nuts, Asparagus, Cream, Peas, Spinach, Umami, Fruity, Stonefruit"
Nonpareil Te Gong Huang Shan Mao Feng Green Tea,Green,Teavivre,0.28,85,"Chestnut, Cream, Sweet, Vegetal, Beany, Fruity, Nutty, Bamboo, Butter, Fennel, Grass, Hay, Hazelnut, Honey, Lettuce, Mineral, Peas, Pine, Seaweed, Spinach, Straw, Sugarcane, Umami, Broth, Creamy, Smooth, Thick, Green, Floral, Green Beans, Dry Grass, Oats, Sweet, Warm Grass, Coconut, Sugar, Vegetable Broth"
Xin Yang Mao Jian Green Tea,Green,Teavivre,0.23,81,"Apricot, Astringent, Bitter, Creamy, Hay, Lima Beans, Mineral, Oats, Smoked, Soybean, Bok Choy, Kale, Peas, Smoke, Umami, Vegetal, Asparagus, Butter, Floral, Grass, Green Beans, Meat, Spinach, Sweet, Carrot, Flowers, Honey, Green, Garden Peas, Seaweed, Smooth, Salt, Chicken Soup, Roasted Chicken, Pine"
Lu Shan Yun Wu Green Tea,Green,Teavivre,0.22,83,"Asparagus, Butter, Chestnut, Green, Green Beans, Nutty, Savory, Soybean, Spinach, Thick, Umami, Vegetal, Apricot, Astringent, Bitter, Broth, Cacao, Cherry, Citrus Zest, Escarole, Floral, Lavender, Lemon, Metallic, Powdered Sugar, Salty, Sweet, Tart, Violet, Leeks, Marshmallow, Meat, Mineral, Nectar, Salt, Vegetables, Creamy, Grain, Hay, Lima Beans, Nuts, Oats, Peas, Smooth, Stonefruit, Roasted, Toasted Rice, Peach, Tangy, Grass, Seaweed, Soy Sauce, Roasted Nuts"
Organic Hangzhou Tian Mu Qing Ding Green Tea,Green,Teavivre,0.31,84,"Asparagus, Butter, Chestnut, Honey, Lima Beans, Soybean, Stonefruit, Sugarcane, Umami, Vegetable Broth, Zucchini, Apricot, Cream, Grass, Green Beans, Hay, Honeysuckle, Lettuce, Malt, Mineral, Nectar, Olives, Peas, Pine, Seaweed, Spinach, Squash Blossom, Sweet, Freshly Cut Grass, Smooth, Vegetal, Creamy, Grain, Oats, Spring Water, Beany, Floral, Garden Peas, Vegetables, Fruity, Metallic, Nutty, Olive Oil, Fruit Tree Flowers"
Pure Green Tea,Green,Twinings,0.13,61,"Hay, Grass, Green, Musty, Straw, Herbs, Astringent"
Gorgeous Geisha,Green,T2,0.13,72,"Grassy, Strawberry, Creamy, Fruity, Grass, Berry, Sweet, Sweet, Warm Grass, Tart, Vegetal, Artificial, Autumn Leaf Pile, Candy, Green, Bitter, Fruit Punch, Cream"
Top Leaf,Green,Mellow Monk,0.18,88,"Astringent, Drying, Grass, Mango, Roasted, Dandelion, Green Beans, Honey, Seaweed, Sweet, Umami, Round, Vegetal, Butter, Butternut Squash, Citrus, Creamy, Honeydew, Spinach"
Gyokuro,Green,Adagio,0.3,77,"Green, Seaweed, Sweet, Grass, Metallic, Tea, Vegetal"
Poundcake,Pu'er,White2tea,0.37,85,"Berries, Cake, Cream, Honey, Sugar, Peach, Pineapple, Plum, Astringent, Butter, Creamy, Mineral, Spices, Sweet, Thick, Grass, Burnt Sugar, Floral, Milk, Nectar, Vanilla, Fruity, Green, Spicy, Brown Sugar, Apricot, Vegetal, Caramel, Earth, Kettle Corn, Powdered Sugar, Smoke, Stonefruit, Bitter, Medicinal, Cloves, Nutmeg"
Pu Erh Poe,Pu'er,Adagio,0.28,62,
Pu Erh Dante,Pu'er,Adagio,0.16,64,"Mushrooms, Wet Earth, Earth, Marine, Mineral, Smooth, Vegetal, Wet Moss, Wet Rocks, Grass, Wood, Honey, Moss, Fishy, Peat, Autumn Leaf Pile, Leather, Loam, Peat Moss"
2007 White2Tea Repave,Pu'er,White2tea,0.36,80,"Cherry, Herbaceous, Honey, Leather, Sandalwood, Smoke, Tobacco, Apricot, Bitter, Floral, Fruity, Jam, Peach, Plum, Strawberry, White Grapes, Wood, Paper, Stonefruit, Sugar, Corn Husk, Dates, Raisins, Raspberry, Creamy, Drying, Sweet, Medicinal, Musty, Bergamot, Camphor, Orange Zest, Earth, Malt, Thick, Oak, Smooth, Herbs, Pine, Sugarcane, Pleasantly Sour, Sour, Campfire, Green Wood, Vanilla, Black Currant, Dark Wood, Sweet, Warm Grass, Dust, Rum, Tangy, Caramel, Citrus, Astringent"
Ripened Aged Pu-erh Mini Tuocha,Pu'er,Teavivre,0.13,80,"Fishy, Dirt, Earth, Leather, Dark Bittersweet, Mushrooms, Sweet, Wet Earth, Wood"
2013 Ontario 1357 Shou Pu-erh,Pu'er,Pines,0.31,84,"Dirt, Leather, Tobacco, Artichoke, Bread, Brown Sugar, Camphor, Caramel, Cocoa, Creamy, Dark Wood, Mocha, Molasses, Musty, Roasted, Smooth, Dark Chocolate, Raisins, Stonefruit, Wood, Cream, Earth, Sweet, Vegetal, Nuts, Vanilla, Wet Earth, Dates, Walnut, Wet wood"
2015 If You're Reading This It's 2 Late,Pu'er,White2tea,0.4,87,"Apricot, Astringent, Bitter, Floral, Grass, Honey, Peach, Stonefruit, Sugarcane, Sweet, Umami, Vegetal, Alcohol, Almond, Apple, Barnyard, Biting, Brown Sugar, Burnt, Butter, Cake, Citrus, Dry Grass, Flowers, Grapes, Herbaceous, Herbs, Hops, Meat, Mushrooms, Pepper, Pleasantly Sour, Sweet, Warm Grass, Tart, Thick, Thyme, Wood, Nutty, Berry, Cedar, Fruity, Grain, Grape Skin, Spices, Sweet Potatoes, Tannic, Whiskey, Candied Apple, Cherry, Citrus Fruits, Cotton Candy, Medicinal, Metallic, Mineral, Musty, Pine, Pineapple, Plum, Powdered Sugar, Spearmint, Smooth, Burnt Sugar, Creamy, Milk, Lavender, Moss, Vanilla, Asparagus, Drying, Lemongrass, Olive Oil, Bitter Melon, Fruit Tree Flowers, Green Melons, Red Fruits, Tropical"
Fengqing Golden Buds Ripened Pu-erh Cake Tea 2005,Pu'er,Teavivre,0.15,81,"Earth, Fishy, Floral, Sweet, Vanilla"
2006 Fengqing Raw Pu-erh Tea Tuocha 100g,Pu'er,Teavivre,0.17,81,"Camphor, Floral, Freshly Cut Grass, Grapefruit, Hay, Honey, Menthol, Smoke, Stonefruit, Sugarcane, Wood, Astringent, Bitter, Spicy, Earth, Green, Sweet, Smoked, Musty, Spices, Leather, Plum, Tobacco, Apricot, Dried Fruit"
Pu-erh,Pu'er,Monkey,0.08,71,
Xingyang 1998 Golden Leaf Pu'er,Pu'er,Verdant,0.45,89,
2015 Brown Sugar Ripe Puerh,Pu'er,White2tea,0.13,79,"Grass, Mineral, Sweet, Wood, Coffee, Earth, Pleasantly Sour, Spices, Camphor, Molasses, Peat, Burnt Sugar, Leather, Mushrooms, Decayed Wood, Dirt, Moss, Smooth, Wet Wood, Creamy, Dark Bittersweet, Thick, Honey, Tobacco, Bitter, Bread, Brown Sugar, Dried Fruit, Chocolate"
2015 Bosch,Pu'er,White2tea,0.64,88,"Almond, Butter, Plum, Kettle Corn, Pepper, Red Wine, Smooth, Spices, Sweet, Bitter Melon, Green, Honey, Nutmeg, Vanilla, Bitter, Eucalyptus, Floral, Herbs"
Fengqing Ancient Tree Spring Chun Jian Raw Pu-erh Cake Tea 2012,Pu'er,Teavivre,0.16,80,"Honey, Sweet, Herbaceous, Astringent, Bitter, Earth, Forest Floor, Wood, Artichoke, Eucalyptus, Lychee, Menthol, Sage, Spinach, Wet Rocks, Floral, Musty"
2012 Huron Gold Needle Shou Pu-erh Cakem,Pu'er,Pines,0.2,88,"Alcohol, Anise, Apple, Apple Candy, Apple Skins, Apricot, Artichoke, Brandy, Cacao, Cherry, Cocoa, Cream, Creamy, Earth, Roast Nuts, Roasted, Roasted Nuts, Smooth, Coffee, Mineral, Mushrooms, Petrichor, Bitter, Wood, Chocolate, Dates, Clay, Decayed Wood, Flowers, Irish Cream, Coconut, Vegetal, Spices, Moss, Berries, Dark Chocolate"
2005 Changtai Yun Pu Zhi Dian / Top of the Clouds,Pu'er,Crimson,0.45,84,"Apricot, Bitter, Bread, Camphor, Dates, Dried Fruit, Eucalyptus, Fruity, Marshmallow, Musty, Paper, Raisins, Smooth, Spicy, Tannin, Tobacco, Walnut, Wet Rocks, Anise, Autumn Leaf Pile, Biting, Drying, Grapes, Herbs, Honey, Kale, Lavender, Menthol, Metallic, Mint, Nuts, Plum, Rainforest, Rice, Stewed Fruits, Sweet, Tannic, Tea, Thyme, Pear, Peach, Stonefruit, Apple Candy, Earth, Forest Floor, Mushrooms, Floral, Jasmine, Smoke, Thick, Brown Sugar, Cinnamon, Vegetal, Mineral, Petrichor, Butter, Wet Earth"
2015 Pin,Pu'er,White2tea,0.55,84,"Alcohol, Apple, Astringent, Berry, Bitter, Drying, Flowers, Forest Floor, Hops, Metallic, Mineral, Nuts, Sugar, Sweet, Wood, Citrus Zest, Creamy, Floral, Fruity, Menthol, Tropical, Apricot, Citrusy, Hay, Honey, Smoke, Spices, Stonefruit, Tart, Tobacco, Artificial, Thick, Herbaceous, Peach, Pine, Smooth, Spinach, Green, Lemon Zest, Vegetal, Dry Grass, Olives, Moss, Pepper"
